Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
27	Buffnûgget	GIGACHAD	Horde	276.7	38	Feb 20	1:52	Dreamweave Circlet (10041)	Star of Mystaria (12103)	Kentic Amice (11624)	Robe of Everlasting Night (18385)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Waterspout Boots (18322)	Sublime Wristguards (18497)	Ogreseer Fists (11665)	Band of Rumination (18103)	Seal of Rivendare (13345)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Staff of Dominance (18842)	N/A	N/A
28	Muhman	N/A	Unknown	276.3	37	Feb 4	2:58	Cenarion Helm (16834)	Jeweled Amulet of Cainwyn (1443)	Cyclone Spaulders (18528)	Chestplate of Tranquility (18373)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Ogreseer Fists (11665)	Band of Rumination (18103)	Cyclopean Band (11824)	Burst of Knowledge (11832)	Heart of the Scale (13164)	Spritecaster Cape (11623)	Energetic Rod (18321)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
29	Stoog	XVII	Alliance	275.8	39	Feb 5	1:35	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Lieutenant Commander's Dragonhide Shoulders (23309)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Ogreseer Fists (11665)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	N/A
30	Bembis	N/A	Unknown	275.2	36	Feb 6	2:43	Wolfshead Helm (8345)	Mark of Fordring (15411)	Truestrike Shoulders (12927)	Cadaverous Armor (14637)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Swiftfoot Treads (15861)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Tarnished Elven Ring (18500)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Manual Crowd Pummeler (9449)	N/A	N/A
31	Xenty	Placeholder	Alliance	272.4	36	Jan 12	2:04	Crimson Felt Hat (18727)	Triune Amulet (7722)	Kentic Amice (11624)	Robe of Volatile Power (19145)	Crystallized Girdle (12606)	Wanderer's Leggings (10112)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Dreamweave Gloves (10019)	Band of the Hierophant (13096)	Glowing Crystal Ring (18402)	Mark of Resolution (17759)	Ward of the Elements (12065)	Nightshade Cloak (10224)	Solstice Staff (15278)	N/A	N/A
32	Nego	The Last Wagon	Alliance	271.0	29	Mar 2	3:51	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Kentic Amice (11624)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Cenarion Bracers (16830)	Hands of Power (13253)	Ring of Spell Power (19147)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Blade of Eternal Darkness (17780)	Tome of Arcane Domination (19308)	N/A
33	Swiftclaws	Second Mains	Alliance	268.7	29	Mar 16	3:39	Lieutenant Commander's Dragonhide Headguard (23308)	Choker of Enlightenment (17109)	Lieutenant Commander's Dragonhide Shoulders (23309)	Knight-Captain's Dragonhide Chestpiece (23294)	Cenarion Belt (16828)	Knight-Captain's Dragonhide Leggings (23295)	Omnicast Boots (11822)	Bleak Howler Armguards (13208)	Cenarion Gloves (16831)	Fordring's Seal (16058)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18470)	Spritecaster Cape (11623)	Aurastone Hammer (17105)	Therazane's Touch (19315)	N/A
34	Erival	N/A	Unknown	268.2	31	Feb 9	2:28	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Burial Shawl (18681)	High Councillor's Tunic (10135)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Eternal Bindings (14330)	Slaghide Gauntlets (13258)	Songstone of Ironforge (12543)	Ring of Spell Power (19147)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Staff of Dominance (18842)	N/A	N/A
35	Honeysuckle	N/A	Unknown	266.7	33	Feb 12	2:32	Cenarion Helm (16834)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	High Councillor's Bracers (10136)	Peerless Gloves (15429)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Archivist Cape (13386)	Hand of Edward the Odd (2243)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
36	Rastamuffin	N/A	Unknown	266.5	27	Jan 22	3:12	Crimson Felt Hat (18727)	Choker of Enlightenment (17109)	Burial Shawl (18681)	Robe of Everlasting Night (18385)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Elegant Bracers (10213)	Hands of Power (13253)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	N/A
37	Redsquared	N/A	Unknown	265.8	20	Feb 4	4:14	Cap of the Scarlet Savant (12752)	Star of Mystaria (12103)	Shroud of the Nathrezim (18720)	Chestplate of Tranquility (18373)	Ban'thok Sash (11662)	Legionnaire's Dragonhide Leggings (22878)	Blood Guard's Dragonhide Treads (22852)	Cenarion Bracers (16830)	Gordok's Handwraps (18369)	Band of Rumination (18103)	Seal of the Archmagus (17110)	Burst of Knowledge (11832)	Briarwood Reed (12930)	Heliotrope Cloak (18496)	Staff of Dominance (18842)	N/A	N/A
38	Taylorshift	N/A	Unknown	263.5	38	Jan 22	2:40	Crimson Felt Hat (18727)	Heart of the Fiend (13960)	Burial Shawl (18681)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Waterspout Boots (18322)	Bleak Howler Armguards (13208)	Magister's Gloves (16684)	Seal of Rivendare (13345)	Songstone of Ironforge (12543)	Ward of the Elements (12065)	Eye of the Beast (13968)	Stormpike Sage's Cloak (19086)	Witchblade (13964)	Tome of Arcane Domination (19308)	N/A
39	Lafreniere	N/A	Unknown	263.1	40	Mar 3	1:50	Master's Hat (10250)	Tooth of Gnarr (13141)	Elder Wizard's Mantle (13013)	High Councillor's Robe (10143)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Dragonrider Boots (18102)	Cenarion Bracers (16830)	Adventurer's Gloves (10260)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Mighty Cloak (10148)	Staff of Dominance (18842)	N/A	N/A
40	Shydes	Gluttons for Punishment	Horde	261.8	40	Mar 17	2:12	Councillor's Circlet (10097)	Tempest Talisman (18317)	Shroud of the Nathrezim (18720)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Ogreseer Fists (11665)	Band of Rumination (18103)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Sorcerous Dagger (18878)	Tome of Arcane Domination (19308)	N/A
41	Mazdamundi	N/A	Unknown	259.9	36	Feb 13	2:39	High Councillor's Circlet (10139)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	High Councillor's Tunic (10135)	Ban'thok Sash (11662)	Nightshade Leggings (10227)	Master's Boots (10247)	Master's Bracers (10248)	Peerless Gloves (15429)	Songstone of Ironforge (12543)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
42	Dilduh	Royal Blood	Alliance	259.7	31	Mar 15	3:24	Green Lens (10504)	Star of Mystaria (12103)	Shroud of the Nathrezim (18720)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Knight-Captain's Dragonhide Leggings (23295)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Ogreseer Fists (11665)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Talisman of Ephemeral Power (18820)	Heliotrope Cloak (18496)	Staff of Dominance (18842)	N/A	N/A
43	Tesquakka	pog	Horde	258.0	37	Feb 12	1:48	Crimson Felt Hat (18727)	Choker of Enlightenment (17109)	Burial Shawl (18681)	Songbird Blouse (13378)	Mana Igniting Cord (19136)	Luminary Kilt (11823)	Waterspout Boots (18322)	Manacle Cuffs (11962)	Earth Warder's Gloves (21318)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Energetic Rod (18321)	Spirit of Aquementas (11904)	N/A
44	Elbows	N/A	Unknown	254.8	27	Feb 7	2:59	Cenarion Helm (16834)	Choker of Enlightenment (17109)	Lieutenant Commander's Dragonhide Shoulders (23309)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Knight-Captain's Dragonhide Leggings (23295)	Knight-Lieutenant's Dragonhide Treads (23281)	Cenarion Bracers (16830)	Knight-Lieutenant's Dragonhide Grips (23280)	Emperor's Seal (11934)	Band of Sulfuras (19138)	Blazing Emblem (2802)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Rod of the Ogre Magi (18534)	N/A	N/A
45	Earthling	N/A	Unknown	254.1	40	Mar 8	1:59	Dreamweave Circlet (10041)	Tooth of Gnarr (13141)	Cyclone Spaulders (18528)	Robe of the Magi (1716)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Dreamweave Gloves (10019)	Band of Sulfuras (19138)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	Egan's Blaster (13289)
46	Mõ	Geisterjäger	Alliance	253.3	40	Jan 26	2:35	Cenarion Helm (16834)	Tempest Talisman (18317)	Celestial Pauldrons (14316)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Dragonrider Boots (18102)	Wildheart Bracers (16714)	Hands of Power (13253)	Band of Rumination (18103)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	Egan's Blaster (13289)
47	Rocurona	Valfenda	Alliance	252.2	39	Jan 29	2:17	Stormrage Cover (16900)	Tooth of Gnarr (13141)	Kentic Amice (11624)	Knight-Captain's Dragonhide Chestpiece (23294)	Ban'thok Sash (11662)	Knight-Captain's Dragonhide Leggings (23295)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Ogreseer Fists (11665)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Energetic Rod (18321)	Therazane's Touch (19315)	Egan's Blaster (13289)
48	Grandpoppa	N/A	Unknown	249.4	38	Jan 26	3:24	High Councillor's Circlet (10139)	Choker of the Fire Lord (18814)	High Councillor's Mantle (10142)	Master's Vest (10246)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Master's Bracers (10248)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Band of the Unicorn (7553)	Eye of the Beast (13968)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Magus Long Staff (15276)	N/A	Egan's Blaster (13289)
49	Sophimoon	N/A	Unknown	248.6	37	Feb 23	2:31	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Cyclone Spaulders (18528)	Dreamweave Vest (10021)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Dreamweave Gloves (10019)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Burst of Knowledge (11832)	Spritecaster Cape (11623)	Aurastone Hammer (17105)	Therazane's Touch (19315)	N/A
50	Fóx	N/A	Unknown	248.5	39	Feb 22	2:13	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Burial Shawl (18681)	Robe of Everlasting Night (18385)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Manacle Cuffs (11962)	Brightspark Gloves (18387)	Songstone of Ironforge (12543)	Band of Rumination (18103)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
51	Sinadris	N/A	Unknown	247.0	35	Feb 19	2:40	Cenarion Helm (16834)	Stormpike Sage's Pendant (19098)	Cenarion Spaulders (16836)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Cenarion Leggings (16835)	Dragonrider Boots (18102)	Cenarion Bracers (16830)	Cenarion Gloves (16831)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Stormpike Sage's Cloak (19086)	Kindling Stave (11750)	N/A	Egan's Blaster (13289)
52	Plsinvtoraid	Ready Set Wipe (official)	Alliance	245.9	37	Jan 20	2:23	Green Lens (10504)	Star of Mystaria (12103)	Cyclone Spaulders (18528)	Dreadmist Robe (16700)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Waterspout Boots (18322)	Manacle Cuffs (11962)	Ogreseer Fists (11665)	Band of Rumination (18103)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Shard of the Splithooves (10659)	Sapphiron Drape (17078)	Energetic Rod (18321)	Spirit of Aquementas (11904)	Egan's Blaster (13289)
